id товара;наименование;ссылка на товар;промо цена;регулярная цена;бренд
642122;Кофе Nescafe Gold растворимый сублимированный с добавлением натурального жареного молотого кофе, 750г;https://online.metro-cc.ru/products/nescafe-s-dobavleniem-naturalnogo-zharenogo-molotogo-gold-750g;1 599;2 399;NESCAFE
122743;Кофе Nescafe Gold растворимый сублимированный с добавлением натурального жареного молотого кофе, 900г;https://online.metro-cc.ru/products/kofe-nescafe-gold-rastvorimiy-sublimirovanniy-s-dobavleniem-naturalnogo-zharenogo-molotogo-kofe-900g;2 269;2 269;NESCAFE
407889;Кофе Bushido Original растворимый, 100г;https://online.metro-cc.ru/products/bushido-sublimirovannyj-original-100g;649;899;BUSHIDO
287768;RIOBA Кофе в зернах натуральный жареный 100% арабика Espresso, 1кг;https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-100-arabika-espresso-1kg;1 199;1 529;RIOBA
580564;Кофе Egoiste Arabica Premium натуральный жареный в зернах, 1кг;https://online.metro-cc.ru/products/egoiste-v-zernah-naturalnyj-zharenyj-arabica-premium-1kg;1 499;2 099;EGOISTE
598958;Кофе Bushido Kodo растворимый, 95г;https://online.metro-cc.ru/products/bushido-v-kristallah-kodo-95g;649;989;BUSHIDO
112993;Кофе Egoiste трюфель крема в зернах, 1кг;https://online.metro-cc.ru/products/kofe-v-zernah-egoiste-tryufel-krema-1kg;1 599;2 199;EGOISTE
427833;Кофе Lavazza Qualita Oro натуральный жареный в зернах, 1кг;https://online.metro-cc.ru/products/v-zernah-lavazza-naturalnyj-zharenyj-qualita-oro-1kg;2 249;2 249;LAVAZZA
546341;Кофе Ambassador Nero Espresso Roast в зернах, 1кг;https://online.metro-cc.ru/products/ambassador-v-zernah-naturalnyj-zharenyj-nero-1kg;799;899;AMBASSADOR
287769;RIOBA Кофе в зернах натуральный жареный 80:20, 1кг;https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-gold-1kg;1 149;1 529;RIOBA
59002;Кофе Bushido Sensei молотый, 227г;https://online.metro-cc.ru/products/art-59002;739;739;BUSHIDO
59409;Кофе Fresco Arabica Solo в зернах, 1кг;https://online.metro-cc.ru/products/fresco-arabica-solo-v-zernah-1000-g;1 149;1 299;FRESCO
123742;Кофе Nescafe Classic растворимый порошкообразный с добавлением натурального жареного молотого кофе, 900г;https://online.metro-cc.ru/products/900g-nescafe-classic;1 299;1 819;NESCAFE
110546;Кофе Bushido Black Katana в зернах, 1кг;https://online.metro-cc.ru/products/kofe-zernovoj-bushido-black-katana-1000g;2 699;2 699;BUSHIDO
104561;Кофе Fresco Blend в зернах, 1кг;https://online.metro-cc.ru/products/fresco-blend-1000g;1 149;1 299;FRESCO
62828;Кофе Julius Meinl Президент классическая коллекция в зернах, 1кг;https://online.metro-cc.ru/products/julius-meinl-prezident-1000g;1 499;1 789;JULIUS MEINL
654819;Кофе Julius Meinl Espresso Premium Collection в зернах, 1кг;https://online.metro-cc.ru/products/v-zernah-julius-meinl-espresso-premium-kollekciya-1000g;1 799;1 989;JULIUS MEINL
654820;Кофе Julius Meinl Caffe Crema Intenso Trend Collection в зернах, 1кг;https://online.metro-cc.ru/products/v-zernah-julius-meinl-krema-intenso-trend-kollekciya-1000g;1 349;1 669;JULIUS MEINL
36574;Кофе Bushido Red Katana в зернах, 1кг;https://online.metro-cc.ru/products/bushido-red-1000g;2 199;2 199;BUSHIDO
287770;RIOBA Кофе в зернах натуральный жареный Silver, 1кг;https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-silver-1kg;1 049;1 449;RIOBA
665877;Кофе Ambassador Blue Label в зернах, 1кг;https://online.metro-cc.ru/products/ambassador-blue-label-zernovoj-1000-g;1 049;1 359;AMBASSADOR
230302;Кофе Monarch Original растворимый, 210г;https://online.metro-cc.ru/products/kofe-monarch-original-rastvorimyy-210g;499;729;MONARCH
